Laptop,Color Choice,Graphics Card,Hard Drive,Memory,Operating System,Processor,Display,Keyboard,final price
m15-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,17461.27111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),16277.92111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),17461.27111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries per-key AlienFX RGB keyboard (Optional),16514.59111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries per-key AlienFX RGB keyboard (Optional),17697.94111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,17461.27111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,18644.62111
m15-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),17066.82111
m15-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),18250.17111
m15-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries per-key AlienFX RGB keyboard (Optional),17303.49111
m15-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries per-key AlienFX RGB keyboard (Optional),18486.84111
m15-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,18250.17111
m15-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,19433.52111
m15-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),13753.44111
